opinion_ID|overall_reat|location|food|hotel|time_management|travelAgent|client_ID|offer_ID
70|8|10|8|7|8|10|70|70
71|8|10|7|4|9|7|71|71
72|8|2|10|1|10|5|72|72
73|3|6|4|7|9|2|73|73
74|4|1|5|1|7|10|74|74
75|8|9|2|10|7|3|75|75
76|6|2|7|10|5|2|76|76
77|2|4|5|4|7|2|77|77
78|8|1|9|2|7|6|78|78
79|2|3|4|10|6|5|79|79
80|8|8|8|7|5|6|80|80
81|6|7|9|9|7|1|81|81
82|5|9|9|5|8|8|82|82
83|6|7|7|2|4|1|83|83
84|5|7|9|7|3|8|84|84
85|1|6|9|4|7|2|85|85
86|5|2|3|3|7|4|86|86
87|9|7|6|7|1|9|87|87
88|1|4|9|1|5|7|88|88
89|4|10|8|8|1|10|89|89
90|6|10|2|5|4|3|90|90
91|6|10|6|10|2|2|91|91
92|9|3|8|8|10|1|92|92
93|6|1|6|1|5|8|93|93
94|7|4|1|9|8|8|94|94
95|9|9|2|9|10|9|95|95
96|6|8|3|4|1|10|96|96
97|2|10|9|10|1|1|97|97
98|7|2|7|10|9|9|98|98
99|10|2|8|2|8|10|99|99
100|4|3|8|1|1|9|100|100
101|10|10|2|2|7|5|101|101
102|2|5|4|5|9|5|102|102
103|3|5|10|4|9|2|103|103
104|8|6|9|6|8|10|104|104
105|10|1|3|3|9|10|105|105
106|10|8|1|6|10|8|106|106
107|2|2|3|10|8|10|107|107
108|1|8|7|3|2|7|108|108
109|6|1|4|5|10|9|109|109
110|6|8|2|10|10|8|110|110
111|8|5|6|1|4|9|111|111
112|2|9|4|6|5|3|112|112
113|7|5|1|2|2|4|113|113
114|4|8|1|7|2|3|114|114
115|5|1|4|1|6|4|115|115
116|8|9|1|3|5|3|116|116
117|3|7|5|6|4|2|117|117
118|8|5|6|9|1|3|118|118
119|3|9|9|5|2|7|119|119
120|5|10|1|9|4|5|120|120
121|10|4|7|3|2|5|121|121
122|9|7|1|1|8|4|122|122
123|9|2|10|2|6|4|123|123
124|6|4|1|8|2|3|124|124
125|2|4|10|8|1|4|125|125
126|3|1|7|3|9|2|126|126
127|3|8|7|10|2|2|127|127
128|9|2|4|6|6|1|128|128
129|2|4|10|7|8|4|129|129
130|10|4|10|1|8|6|130|130
131|10|8|1|8|9|5|131|131
132|6|8|2|10|8|4|132|132
133|10|5|7|4|7|6|133|133
134|3|5|6|2|2|9|134|134
135|10|6|2|8|4|5|135|135
136|2|9|2|10|3|9|136|136
137|9|2|10|1|9|8|137|137
138|6|6|2|1|3|9|138|138
139|8|6|5|9|10|7|139|139
140|9|5|3|3|2|8|140|140
141|1|3|6|8|8|5|141|141
142|1|9|7|10|2|8|142|142
143|6|1|4|2|3|2|143|143
144|2|3|9|3|10|7|144|144
145|6|8|6|10|8|3|145|145
146|8|8|3|8|10|6|146|146
147|7|3|10|3|7|5|147|147
148|2|3|3|3|2|3|148|148
149|3|4|2|5|3|8|149|149
150|10|9|5|3|8|8|150|150
151|7|2|10|3|5|2|151|151
152|8|2|10|2|6|9|152|152
153|5|7|4|9|9|5|153|153
154|1|4|10|3|6|2|154|154
155|3|2|5|6|9|5|155|155
156|3|10|8|9|4|8|156|156
157|6|4|10|9|7|6|157|157
158|6|2|5|7|10|7|158|158
159|3|10|9|6|9|8|159|159
160|1|3|4|5|1|7|160|160
161|3|1|8|9|7|5|161|161
162|7|10|5|8|3|7|162|162
163|7|8|7|1|4|2|163|163
164|4|4|10|6|1|8|164|164
165|3|1|6|5|10|4|165|165
166|1|2|9|5|10|4|166|166
167|9|2|7|7|4|8|167|167
168|3|9|1|3|9|9|168|168
169|7|6|7|10|6|1|169|169
170|4|5|8|6|5|2|170|170
171|10|10|9|4|1|10|171|171
172|7|4|6|3|9|3|172|172
173|5|6|9|3|8|6|173|173
174|1|5|6|8|7|2|174|174
175|6|8|6|2|7|3|175|175
176|7|3|7|7|10|1|176|176
177|9|8|8|8|9|8|177|177
178|9|9|1|1|3|5|178|178
179|7|1|6|9|4|7|179|179
180|6|1|8|5|9|8|180|180
181|1|2|2|2|10|2|181|181
182|10|6|5|10|8|4|182|182
183|5|10|7|9|4|2|183|183
184|4|3|5|1|3|1|184|184
185|4|8|1|1|4|10|185|185
186|7|8|1|4|2|5|186|186
187|4|3|4|10|1|1|187|187
188|4|6|7|7|2|6|188|188
189|3|5|2|1|10|5|189|189
190|9|2|6|6|3|2|190|190
191|10|1|2|7|8|1|191|191
192|5|5|6|1|8|10|192|192
193|6|7|8|8|2|1|193|193
194|3|1|9|5|2|10|194|194
195|1|6|4|4|3|4|195|195
196|4|4|10|9|10|7|196|196
197|8|3|3|3|10|5|197|197
198|4|7|2|6|7|1|198|198
199|3|7|7|7|5|5|199|199
200|2|8|7|7|3|5|200|200
201|9|3|6|2|2|1|201|201
202|6|7|3|6|2|8|202|202
203|4|1|10|3|2|10|203|203
204|4|10|7|2|2|5|204|204
205|8|6|5|6|7|9|205|205
206|1|10|7|9|10|5|206|206
207|5|1|6|1|7|6|207|207
208|7|8|4|1|9|3|208|208
209|2|8|10|6|7|4|209|209
210|2|4|7|3|1|8|210|210
211|1|1|9|8|10|5|211|211
212|6|1|7|5|7|3|212|212
213|1|8|7|9|6|5|213|213
214|4|8|8|2|1|2|214|214
215|8|3|1|9|8|1|215|215
216|2|10|9|9|10|4|216|216
217|5|8|3|3|9|10|217|217
218|10|6|4|6|7|5|218|218
219|8|3|8|3|1|4|219|219
220|10|10|6|5|10|2|220|220
221|7|9|4|9|10|9|221|221
222|4|1|5|9|7|1|222|222
223|6|3|8|2|10|2|223|223
224|1|4|5|7|8|5|224|224
225|10|2|5|1|1|8|225|225
226|4|4|3|2|8|9|226|226
227|4|1|4|4|9|4|227|227
228|1|7|2|1|1|10|228|228
229|1|7|2|9|8|10|229|229
230|4|4|5|9|4|6|230|230
231|8|9|4|5|8|7|231|231
232|2|1|4|9|7|5|232|232
233|2|8|1|9|5|9|233|233
234|5|10|9|9|10|1|234|234
235|5|8|3|10|5|9|235|235
236|7|6|5|8|10|3|236|236
237|3|2|1|1|2|5|237|237
238|10|5|5|1|4|1|238|238
239|8|6|1|10|7|10|239|239
240|9|2|4|1|9|9|240|240
241|8|4|10|6|7|5|241|241
242|6|6|9|3|8|4|242|242
243|5|4|6|2|8|1|243|243
244|5|5|1|8|6|10|244|244
245|1|2|2|1|4|2|245|245
246|6|4|2|2|2|8|246|246
247|2|4|7|10|5|9|247|247
248|10|4|6|10|4|6|248|248
249|4|10|8|10|9|2|249|249
250|5|5|9|4|3|5|250|250
251|6|2|7|2|3|2|251|251
252|8|8|3|5|8|5|252|252
253|7|3|10|8|2|7|253|253
254|4|8|9|7|8|6|254|254
255|9|3|7|8|8|4|255|255
256|7|4|6|7|2|10|256|256
257|1|3|1|8|9|6|257|257
258|10|7|5|7|7|2|258|258
259|10|1|2|2|5|6|259|259
260|3|10|8|8|4|5|260|260
261|10|10|10|8|4|8|261|261
262|6|5|2|6|4|9|262|262
263|7|8|2|8|5|3|263|263
264|10|2|2|4|6|4|264|264
265|9|9|7|3|9|7|265|265
266|8|9|3|9|9|7|266|266
267|10|6|3|1|4|9|267|267
268|6|8|6|4|9|7|268|268
269|5|10|9|8|10|10|269|269
270|2|10|1|3|7|1|270|270
271|4|6|5|4|2|9|271|271
272|3|1|2|8|2|3|272|272
273|10|5|1|5|10|7|273|273
274|8|5|9|7|4|5|274|274
275|7|1|3|9|1|9|275|275
276|9|9|1|9|4|6|276|276
277|7|3|6|7|4|9|277|277
278|8|1|7|10|4|3|278|278
279|1|5|8|8|3|8|279|279
280|9|5|10|4|9|1|280|280
281|6|1|9|9|5|1|281|281
282|1|10|1|6|2|10|282|282
283|4|2|10|10|3|5|283|283
284|8|1|4|10|3|3|284|284
285|9|1|5|2|9|4|285|285
286|10|9|3|7|7|9|286|286
287|2|9|8|8|8|2|287|287
288|9|4|9|5|4|10|288|288
289|3|9|2|4|8|10|289|289
290|10|8|8|5|1|7|290|290
291|2|1|3|4|7|2|291|291
292|6|9|7|6|4|1|292|292
293|7|9|9|8|6|1|293|293
294|2|10|9|10|5|5|294|294
295|9|2|5|8|1|8|295|295
296|8|5|7|2|8|7|296|296
297|8|8|1|8|10|9|297|297
298|8|9|5|2|5|9|298|298
299|9|4|2|8|10|9|299|299
300|9|6|8|1|2|8|300|300
301|8|8|1|5|7|3|301|301
302|6|1|7|8|5|3|302|302
303|8|6|2|7|3|4|303|303
304|6|3|9|9|5|10|304|304
305|4|9|9|7|10|8|305|305
306|10|1|2|8|7|9|306|306
307|2|5|6|10|5|9|307|307
308|3|10|4|6|5|8|308|308
309|1|1|9|3|3|4|309|309
310|8|7|8|3|1|7|310|310
311|3|4|5|10|3|6|311|311
312|7|8|5|2|4|8|312|312
313|10|8|3|10|10|6|313|313
314|7|4|1|5|8|9|314|314
315|10|5|4|5|8|2|315|315
316|1|3|4|8|5|8|316|316
317|4|10|10|7|2|10|317|317
318|7|1|8|5|1|3|318|318
319|10|4|5|8|2|10|319|319
320|9|10|1|6|2|1|320|320
321|9|9|7|9|10|2|321|321
322|7|6|2|7|3|3|322|322
323|4|9|1|8|8|6|323|323
324|5|10|8|2|4|6|324|324
325|1|6|6|1|3|3|325|325
326|4|6|8|2|5|1|326|326
327|2|3|10|2|3|4|327|327
328|3|8|3|10|6|1|328|328
329|10|4|10|6|10|4|329|329
330|6|4|2|2|9|2|330|330
331|6|10|2|3|5|6|331|331
332|4|9|3|10|10|8|332|332
333|10|7|1|10|8|10|333|333
334|4|6|3|10|8|2|334|334
335|9|6|9|4|6|10|335|335
336|2|3|4|3|1|1|336|336
337|6|7|5|2|7|3|337|337
338|10|8|6|7|7|6|338|338
339|9|6|5|2|4|5|339|339
340|1|9|1|7|7|6|340|340
341|2|1|4|4|10|2|341|341
342|8|2|2|3|1|2|342|342
343|1|7|9|7|4|9|343|343
344|4|10|1|7|10|1|344|344
345|1|4|1|5|4|10|345|345
346|2|4|6|10|9|2|346|346
347|5|5|1|4|2|1|347|347
348|6|1|8|10|1|4|348|348
349|1|4|10|1|10|2|349|349
350|7|10|9|4|2|4|350|350
351|10|9|6|4|7|2|351|351
352|1|9|2|4|1|3|352|352
353|9|5|5|3|5|7|353|353
354|3|10|8|7|1|5|354|354
355|7|2|3|6|7|6|355|355
356|4|10|1|5|2|4|356|356
357|5|3|2|4|9|6|357|357
358|10|3|8|2|1|2|358|358
359|3|6|3|1|2|9|359|359
360|2|10|10|6|1|5|360|360
361|2|9|2|5|7|8|361|361
362|9|1|8|4|7|9|362|362
363|1|2|2|7|8|1|363|363
364|5|7|7|5|2|1|364|364
365|10|2|7|4|3|4|365|365
366|1|2|6|9|3|1|366|366
367|5|8|8|8|8|9|367|367
368|1|4|9|4|8|6|368|368
369|7|5|6|10|2|1|369|369
370|8|3|3|10|8|1|370|370
371|9|6|7|5|6|1|371|371
372|7|4|8|10|10|3|372|372
373|5|2|10|5|6|6|373|373
374|4|2|9|6|8|7|374|374
375|7|5|5|2|2|1|375|375
376|10|4|6|4|10|1|376|376
377|1|1|6|2|7|10|377|377
378|1|4|1|2|2|4|378|378
379|2|9|4|9|5|6|379|379
380|4|9|1|9|1|6|380|380
381|5|5|3|9|2|8|381|381
382|8|2|4|10|1|9|382|382
383|1|1|1|2|2|8|383|383
384|7|1|10|10|5|2|384|384
385|3|3|5|4|4|8|385|385
386|2|10|4|10|2|6|386|386
387|3|9|3|9|9|2|387|387
388|1|9|5|10|9|2|388|388
389|9|8|2|1|5|3|389|389
390|5|9|9|6|6|2|390|390
391|3|2|4|8|4|4|391|391
392|9|4|4|2|1|1|392|392
393|2|6|2|4|1|1|393|393
394|10|2|3|10|9|7|394|394
395|4|7|2|2|4|4|395|395
396|1|10|2|2|1|5|396|396
397|5|2|1|5|9|3|397|397
398|10|7|8|5|10|2|398|398
399|9|2|1|4|2|10|399|399
400|3|1|6|7|7|8|400|400
401|5|1|3|5|10|8|401|401
402|7|1|6|2|1|5|402|402
403|10|6|3|5|6|1|403|403
404|9|5|3|10|9|9|404|404
405|7|9|9|2|7|9|405|405
406|6|1|10|1|8|10|406|406
407|5|1|1|6|10|9|407|407
408|6|4|10|6|7|3|408|408
409|1|9|8|3|6|2|409|409
410|9|6|9|4|5|4|410|410
411|1|8|2|4|3|5|411|411
412|3|10|2|4|1|9|412|412
413|7|5|4|8|7|3|413|413
414|2|9|2|7|9|8|414|414
415|2|3|2|4|2|4|415|415
416|1|10|8|3|9|4|416|416
417|4|6|2|4|8|8|417|417
418|10|5|1|3|1|2|418|418
419|10|3|1|5|1|7|419|419
420|5|4|10|2|5|1|420|420
421|4|1|5|7|1|3|421|421
422|2|2|3|4|7|10|422|422
423|5|1|8|4|4|6|423|423
424|3|2|9|3|2|7|424|424
425|10|10|7|1|2|3|425|425
426|1|4|6|10|4|9|426|426
427|6|2|2|1|1|4|427|427
428|3|1|7|9|5|8|428|428
429|8|4|2|4|3|10|429|429
430|7|5|9|6|4|6|430|430
431|3|5|6|7|5|9|431|431
432|9|9|1|5|1|10|432|432
433|1|8|4|8|7|6|433|433
434|1|9|4|1|10|5|434|434
435|10|3|4|10|9|7|435|435
436|2|4|3|7|3|4|436|436
437|9|6|7|2|5|2|437|437
438|4|3|4|3|8|3|438|438
439|3|4|4|6|5|1|439|439
440|10|10|1|4|5|10|440|440
441|5|8|7|4|5|9|441|441
442|1|8|8|4|1|7|442|442
443|1|7|2|2|8|3|443|443
444|1|10|10|9|10|7|444|444
445|4|10|8|5|7|3|445|445
446|8|7|4|6|7|10|446|446
447|1|4|2|5|7|3|447|447
448|2|3|9|3|7|3|448|448
449|10|5|5|2|7|9|449|449
450|3|2|5|3|4|5|450|450
451|9|5|3|4|7|6|451|451
452|1|5|10|9|6|6|452|452
453|6|10|10|7|2|2|453|453
454|7|5|7|3|1|7|454|454
455|5|1|2|8|9|4|455|455
456|7|7|3|5|4|8|456|456
457|8|3|10|9|5|5|457|457
458|2|6|2|3|1|9|458|458
459|1|8|4|7|5|1|459|459
460|8|1|10|10|1|5|460|460
461|2|1|2|1|9|2|461|461
462|6|8|10|8|3|10|462|462
463|3|3|3|9|4|9|463|463
464|9|5|1|9|3|8|464|464
465|2|9|2|3|10|3|465|465
466|7|10|7|2|10|5|466|466
467|1|7|6|4|6|3|467|467
468|10|2|8|10|5|4|468|468
469|1|4|5|3|4|1|469|469
470|5|6|7|1|5|2|470|470
471|5|6|2|2|9|1|471|471
472|7|1|4|10|10|4|472|472
473|8|10|1|5|2|2|473|473
474|9|8|10|6|8|10|474|474
475|6|5|5|4|3|8|475|475
476|4|6|2|4|1|1|476|476
477|10|8|6|9|6|5|477|477
478|2|2|10|1|1|7|478|478
479|7|4|8|1|1|3|479|479
480|7|9|9|6|10|3|480|480
481|2|1|5|1|4|5|481|481
482|1|6|10|5|8|9|482|482
483|1|10|4|10|1|2|483|483
484|7|4|7|2|1|6|484|484
485|10|6|3|3|2|1|485|485
486|10|4|4|5|9|8|486|486
487|1|1|3|9|5|2|487|487
488|5|3|7|7|3|1|488|488
489|6|6|5|1|6|2|489|489
490|4|3|5|6|8|10|490|490
491|9|5|7|1|6|4|491|491
492|1|6|5|10|10|5|492|492
493|10|2|6|6|3|8|493|493
494|2|3|9|5|6|9|494|494
495|2|7|9|9|6|3|495|495
496|10|5|10|8|3|5|496|496
497|6|2|7|2|4|2|497|497
498|4|9|4|1|7|6|498|498
499|6|6|4|4|3|4|499|499
