transaction_no|amount|payment_date|payment_method|offer_ID|client_ID
79|2493|1995-08-04 03:02:39|PayPal|79|79
80|3777|1980-03-09 01:06:31|MasterCard|80|80
81|6848|1991-07-24 17:01:36|PayPal|81|81
82|2584|2002-02-18 11:21:28|BLIK|82|82
83|3611|1993-10-24 17:52:13|BitCoin|83|83
84|6614|1970-07-24 13:20:24|Visa|84|84
85|9741|1988-08-08 12:28:23|BitCoin|85|85
86|2706|1981-07-06 00:31:45|Cash|86|86
87|8142|1982-03-19 13:28:06|BitCoin|87|87
88|9736|1991-01-26 12:42:55|Visa|88|88
89|9073|1997-04-08 17:37:01|International Transfer|89|89
90|2951|1987-10-04 16:10:30|MasterCard|90|90
91|9963|1973-11-15 03:55:40|Visa|91|91
92|3224|1996-04-27 17:13:55|Cash|92|92
93|4161|2010-03-13 00:09:15|PayPal|93|93
94|9473|1987-12-06 03:11:47|PayPal|94|94
95|10326|2015-02-11 02:03:39|PayPal|95|95
96|7699|2020-10-10 23:01:45|BitCoin|96|96
97|3656|2017-02-08 22:24:14|Visa|97|97
98|8774|2004-01-16 08:18:02|International Transfer|98|98
99|10913|1998-03-30 15:42:47|BLIK|99|99
100|2140|1977-06-17 20:22:15|BLIK|100|100
101|10342|2019-08-09 02:55:09|PayPal|101|101
102|10931|2003-06-26 09:15:10|BitCoin|102|102
103|2375|1992-12-19 20:19:06|BLIK|103|103
104|9657|1987-07-19 23:02:35|MasterCard|104|104
105|5893|1977-03-17 00:06:18|BitCoin|105|105
106|9150|2020-04-09 05:39:47|International Transfer|106|106
107|1757|2005-04-07 11:56:03|Cash|107|107
108|1485|1980-11-04 22:03:03|BLIK|108|108
109|3214|2003-12-07 20:04:12|International Transfer|109|109
110|1196|2003-12-16 16:27:09|International Transfer|110|110
111|7776|1977-06-11 09:51:56|BitCoin|111|111
112|3287|1977-11-18 10:43:06|Cash|112|112
113|7667|1990-06-04 06:10:30|International Transfer|113|113
114|2329|2008-03-24 13:03:17|Visa|114|114
115|6144|2007-12-24 00:46:31|PayPal|115|115
116|3917|1976-08-11 08:39:55|Visa|116|116
117|10714|1996-01-16 14:58:53|Cash|117|117
118|7476|1973-10-11 20:58:17|International Transfer|118|118
119|2051|1995-02-12 21:08:49|BLIK|119|119
120|4121|2007-11-10 20:53:05|BitCoin|120|120
121|8020|1971-06-08 11:31:36|Cash|121|121
122|10547|1975-02-24 00:12:30|MasterCard|122|122
123|9953|2008-08-14 20:14:33|BLIK|123|123
124|1837|2003-12-22 02:00:47|International Transfer|124|124
125|7082|2015-09-03 21:05:53|MasterCard|125|125
126|6311|1992-06-24 02:51:33|MasterCard|126|126
127|9889|1994-02-05 17:22:42|MasterCard|127|127
128|10116|2003-05-09 17:28:49|MasterCard|128|128
129|9327|1972-11-10 20:59:46|BLIK|129|129
130|6197|2007-11-18 19:19:34|BitCoin|130|130
131|5206|1981-08-06 09:53:12|PayPal|131|131
132|9212|1997-04-28 04:11:45|PayPal|132|132
133|9019|2003-06-23 08:29:33|Visa|133|133
134|7546|2020-03-22 12:13:34|PayPal|134|134
135|8675|2007-04-27 14:30:35|BLIK|135|135
136|5257|1995-12-16 03:45:10|BLIK|136|136
137|9945|1992-03-11 05:39:16|PayPal|137|137
138|5441|1973-03-05 04:51:12|Cash|138|138
139|8606|1987-11-16 06:44:05|Visa|139|139
140|4492|1988-06-06 13:25:45|Cash|140|140
141|5644|2019-12-16 16:44:14|Cash|141|141
142|4142|1989-09-18 08:03:42|PayPal|142|142
143|3765|1976-03-21 23:19:02|International Transfer|143|143
144|2892|1990-05-07 15:35:08|PayPal|144|144
145|4007|1988-12-26 09:52:31|MasterCard|145|145
146|8634|2020-10-21 19:49:23|BitCoin|146|146
147|7363|1979-05-09 01:38:01|MasterCard|147|147
148|4834|2012-06-21 20:45:06|BLIK|148|148
149|10904|1987-09-25 16:10:24|PayPal|149|149
150|2644|1979-11-12 18:22:45|MasterCard|150|150
151|10091|2020-12-13 12:49:36|PayPal|151|151
152|7655|1997-07-09 12:42:58|PayPal|152|152
153|3803|2003-08-06 14:40:52|PayPal|153|153
154|1308|2012-10-24 18:09:43|PayPal|154|154
155|4471|1971-04-12 20:05:11|BLIK|155|155
156|6557|2006-01-26 02:04:26|BitCoin|156|156
157|9941|2006-09-01 09:39:12|BLIK|157|157
158|5150|1974-02-14 20:24:40|MasterCard|158|158
159|4593|2017-08-20 00:58:11|MasterCard|159|159
160|2387|1993-08-01 12:16:56|PayPal|160|160
161|6443|1972-12-20 08:35:17|Visa|161|161
162|8456|1974-05-30 13:14:28|Cash|162|162
163|10632|1992-05-07 13:54:06|International Transfer|163|163
164|2487|1978-06-06 12:46:04|BitCoin|164|164
165|8211|1985-06-21 08:00:28|PayPal|165|165
166|7738|1999-10-28 21:15:12|MasterCard|166|166
167|6451|2015-07-14 02:45:19|PayPal|167|167
168|1893|2004-10-29 19:20:22|BitCoin|168|168
169|4974|2014-10-09 20:12:44|PayPal|169|169
170|7539|1998-03-31 03:31:47|MasterCard|170|170
171|5643|1982-01-11 20:52:08|International Transfer|171|171
172|5168|1997-12-13 04:17:31|BitCoin|172|172
173|4321|2004-09-11 08:04:24|PayPal|173|173
174|6529|1987-02-26 03:29:04|BLIK|174|174
175|3434|2012-01-07 03:40:15|BLIK|175|175
176|2116|2000-03-25 18:33:29|International Transfer|176|176
177|9935|1972-12-04 18:43:39|Visa|177|177
178|10029|1989-12-17 08:44:11|BLIK|178|178
179|8700|1979-09-24 18:37:20|Visa|179|179
180|7093|1987-05-04 18:07:04|International Transfer|180|180
181|10631|1974-04-10 02:50:02|MasterCard|181|181
182|1953|1997-12-19 23:27:11|Cash|182|182
183|2962|2019-05-19 08:39:42|MasterCard|183|183
184|4196|2008-05-05 08:59:40|Visa|184|184
185|3792|2015-04-10 17:15:25|International Transfer|185|185
186|8122|2004-05-11 14:08:47|MasterCard|186|186
187|10322|1977-12-03 02:04:21|Visa|187|187
188|2356|1990-01-23 14:48:49|BLIK|188|188
189|3088|1980-03-13 23:30:43|MasterCard|189|189
190|4171|1970-05-19 15:22:46|Visa|190|190
191|8452|2000-04-20 14:56:38|BLIK|191|191
192|7101|1996-01-03 10:23:15|BLIK|192|192
193|5658|2014-11-17 02:27:08|PayPal|193|193
194|2137|2006-09-05 06:05:22|Cash|194|194
195|3621|1975-05-08 12:26:03|PayPal|195|195
196|8768|1999-11-19 20:18:36|MasterCard|196|196
197|6068|2014-06-18 21:05:04|Cash|197|197
198|5298|1970-09-21 16:55:07|Cash|198|198
199|6356|1972-12-31 21:29:06|Cash|199|199
200|9856|1999-03-17 04:03:56|PayPal|200|200
201|6833|2006-05-26 09:13:15|BitCoin|201|201
202|4495|1975-04-18 22:51:24|BitCoin|202|202
203|2221|1988-01-05 15:08:46|Cash|203|203
204|4803|1984-12-20 05:08:05|International Transfer|204|204
205|10587|1998-12-26 16:34:40|International Transfer|205|205
206|8106|1994-06-30 12:54:55|BitCoin|206|206
207|10190|2009-04-01 23:34:00|BitCoin|207|207
208|3790|2002-02-23 18:13:28|BitCoin|208|208
209|2730|1980-06-28 16:54:01|International Transfer|209|209
210|3031|2015-09-17 00:44:05|Cash|210|210
211|2114|1985-05-10 02:17:43|Cash|211|211
212|9158|2010-07-22 21:00:08|International Transfer|212|212
213|7475|2020-12-01 13:25:00|PayPal|213|213
214|8774|2014-04-09 16:25:33|Cash|214|214
215|4089|2001-10-25 11:16:45|Cash|215|215
216|6866|1996-08-21 03:25:11|Cash|216|216
217|5598|1997-12-23 08:27:56|Visa|217|217
218|6894|2020-03-02 04:08:38|PayPal|218|218
219|9096|1977-02-17 03:15:55|PayPal|219|219
220|1134|2016-06-28 07:02:28|BLIK|220|220
221|8605|1973-03-23 10:12:56|BLIK|221|221
222|4336|1991-04-17 21:32:41|International Transfer|222|222
223|10618|1987-02-13 22:32:54|BLIK|223|223
224|6904|1978-04-08 20:55:38|Cash|224|224
225|10669|2001-03-27 06:09:14|BLIK|225|225
226|9380|1975-09-08 09:49:22|Visa|226|226
227|4260|1991-12-11 10:33:19|Cash|227|227
228|4567|1972-07-27 11:56:40|Cash|228|228
229|4165|1971-12-30 03:48:19|MasterCard|229|229
230|4904|2003-08-22 05:47:19|BLIK|230|230
231|6794|1999-06-05 20:20:01|MasterCard|231|231
232|7322|1970-12-12 13:07:52|BLIK|232|232
233|7255|1975-06-20 13:25:08|BitCoin|233|233
234|3519|2016-10-21 15:43:01|Visa|234|234
235|3894|2001-02-09 15:14:14|MasterCard|235|235
236|6905|1993-09-03 04:31:03|International Transfer|236|236
237|7606|1977-07-18 23:39:05|Visa|237|237
238|7980|2018-05-05 01:30:58|BitCoin|238|238
239|7844|2020-07-14 03:14:03|Cash|239|239
240|2922|2006-07-15 08:03:42|Visa|240|240
241|10673|1970-05-29 07:13:41|Cash|241|241
242|9875|1970-05-16 07:39:26|International Transfer|242|242
243|10090|2000-07-16 10:17:59|BLIK|243|243
244|1530|2002-03-16 17:54:00|BLIK|244|244
245|1750|2007-09-03 17:28:07|Visa|245|245
246|1627|1987-01-16 06:08:16|MasterCard|246|246
247|2755|1982-03-08 13:13:12|BLIK|247|247
248|1026|2004-06-30 03:52:16|BLIK|248|248
249|8726|1989-04-28 13:49:15|BLIK|249|249
250|8412|1995-01-09 19:26:27|PayPal|250|250
251|5227|1994-09-04 05:06:56|Visa|251|251
252|8328|2001-01-25 16:45:18|PayPal|252|252
253|6749|1999-09-22 17:51:26|Cash|253|253
254|8149|1976-12-26 06:48:43|BitCoin|254|254
255|6856|2006-01-12 03:37:12|BLIK|255|255
256|3916|2012-07-16 17:47:49|MasterCard|256|256
257|8828|1999-02-13 08:50:44|BitCoin|257|257
258|5646|2002-11-18 19:45:08|MasterCard|258|258
259|3311|2002-10-25 14:37:42|MasterCard|259|259
260|8026|1973-02-10 21:25:23|MasterCard|260|260
261|10402|1999-07-01 22:06:21|Visa|261|261
262|7952|1999-02-12 18:08:47|BLIK|262|262
263|6305|2003-03-20 21:23:53|BitCoin|263|263
264|10928|1978-12-06 15:55:58|BLIK|264|264
265|10169|2016-10-27 19:05:48|MasterCard|265|265
266|1085|1976-04-14 02:46:11|Visa|266|266
267|10008|2011-02-10 06:58:22|International Transfer|267|267
268|4792|2019-05-31 23:57:57|International Transfer|268|268
269|10122|1980-11-03 23:15:40|BLIK|269|269
270|3984|1982-01-14 06:58:45|Cash|270|270
271|6395|2007-08-25 16:46:01|Visa|271|271
272|9781|1985-10-29 05:21:06|MasterCard|272|272
273|9091|1990-05-17 10:49:07|Cash|273|273
274|9465|2009-11-21 22:44:07|International Transfer|274|274
275|7638|1977-12-26 00:16:12|Visa|275|275
276|9580|1987-08-16 02:36:48|BitCoin|276|276
277|5077|1983-12-21 19:12:15|Cash|277|277
278|4931|1970-09-23 06:47:36|International Transfer|278|278
279|10825|2013-03-21 06:23:12|Visa|279|279
280|5764|2010-04-12 00:12:32|Visa|280|280
281|10793|1980-04-12 05:48:21|MasterCard|281|281
282|3542|1977-07-15 13:54:14|BitCoin|282|282
283|5580|1994-08-30 00:17:21|BitCoin|283|283
284|4451|1980-10-13 01:19:44|Cash|284|284
285|4459|2000-10-16 07:53:39|BLIK|285|285
286|9910|1982-01-10 01:01:55|BitCoin|286|286
287|4952|2020-09-20 01:52:03|BitCoin|287|287
288|8664|1994-09-27 22:16:35|Cash|288|288
289|6748|2012-05-03 20:39:56|PayPal|289|289
290|9093|2003-01-09 14:51:28|Cash|290|290
291|7630|2006-05-22 22:34:16|International Transfer|291|291
292|10894|1985-02-10 00:46:11|Cash|292|292
293|10467|1983-05-11 12:59:52|International Transfer|293|293
294|8963|1998-10-10 08:44:02|PayPal|294|294
295|5798|2001-07-26 11:27:30|BitCoin|295|295
296|10300|1989-01-30 02:02:52|BLIK|296|296
297|10353|2016-10-29 05:24:47|Visa|297|297
298|6524|1973-09-13 17:55:21|BLIK|298|298
299|6354|2005-08-26 01:03:51|Cash|299|299
300|9940|2016-02-17 13:22:55|Cash|300|300
301|7698|2009-03-19 08:19:06|BLIK|301|301
302|1864|1976-12-16 15:20:24|BLIK|302|302
303|2820|1981-08-10 17:44:21|Cash|303|303
304|3443|2016-09-30 19:58:44|MasterCard|304|304
305|3480|1973-01-21 23:03:52|Cash|305|305
306|5995|1993-07-01 07:01:02|MasterCard|306|306
307|5456|2010-05-10 07:24:31|BitCoin|307|307
308|1162|2009-09-28 08:00:29|International Transfer|308|308
309|3284|1988-03-18 08:40:09|BLIK|309|309
310|5120|1989-07-02 20:36:23|Visa|310|310
311|8211|2016-10-28 03:59:30|PayPal|311|311
312|3029|2001-08-31 16:40:37|Visa|312|312
313|1587|2012-09-27 06:28:10|Cash|313|313
314|2343|1996-08-12 08:25:54|PayPal|314|314
315|3004|2010-03-18 20:03:55|Visa|315|315
316|6958|2019-12-26 10:53:25|PayPal|316|316
317|10295|2006-04-19 20:12:45|PayPal|317|317
318|6325|2006-09-18 07:59:16|MasterCard|318|318
319|7594|1971-12-29 04:15:19|PayPal|319|319
320|3510|1976-03-01 23:28:33|International Transfer|320|320
321|10040|1982-01-01 14:30:18|International Transfer|321|321
322|1245|2015-09-04 02:17:48|Visa|322|322
323|5191|1981-03-29 08:55:34|MasterCard|323|323
324|3016|1993-04-16 11:20:30|International Transfer|324|324
325|6633|1997-07-24 10:40:27|BLIK|325|325
326|9674|1978-10-13 14:48:49|BLIK|326|326
327|6848|1974-02-20 21:23:38|BitCoin|327|327
328|9606|2006-03-18 20:10:07|Cash|328|328
329|9583|1984-09-17 03:30:11|Cash|329|329
330|2416|1998-03-28 10:15:27|PayPal|330|330
331|8132|1976-07-15 00:01:51|BLIK|331|331
332|2198|2020-07-24 01:41:28|Cash|332|332
333|4194|1970-12-28 19:52:20|BLIK|333|333
334|4667|2008-01-24 18:48:30|MasterCard|334|334
335|9583|2006-09-23 17:45:38|PayPal|335|335
336|7134|1972-08-09 23:54:10|BitCoin|336|336
337|8824|1980-02-14 12:03:14|Visa|337|337
338|1308|1994-05-05 02:08:50|Cash|338|338
339|8894|2003-05-29 02:48:13|MasterCard|339|339
340|5682|2014-10-16 03:41:33|PayPal|340|340
341|6143|1972-08-14 13:06:26|MasterCard|341|341
342|9181|1974-10-03 11:12:10|Visa|342|342
343|5615|1997-06-15 08:25:21|Cash|343|343
344|7115|2014-02-28 07:00:33|Visa|344|344
345|5826|1981-06-17 16:01:15|Visa|345|345
346|8034|2018-11-03 02:53:15|MasterCard|346|346
347|7801|1973-03-20 18:55:18|Visa|347|347
348|3268|2020-01-13 02:25:17|Cash|348|348
349|7396|2014-06-28 13:24:05|International Transfer|349|349
350|10601|1997-02-05 17:46:09|Visa|350|350
351|1197|2018-11-17 16:40:05|Cash|351|351
352|2789|1986-05-26 00:54:02|BLIK|352|352
353|10354|2001-02-22 16:08:48|International Transfer|353|353
354|2696|1974-03-28 16:44:45|PayPal|354|354
355|9605|1985-05-31 07:29:10|International Transfer|355|355
356|10088|1995-04-17 16:46:36|Visa|356|356
357|3590|1992-12-08 10:44:57|BLIK|357|357
358|5144|2012-02-16 16:40:38|PayPal|358|358
359|5988|1993-12-08 14:29:23|BLIK|359|359
360|9995|2012-05-18 11:43:24|PayPal|360|360
361|5714|1977-03-09 22:09:51|PayPal|361|361
362|6311|1991-08-23 22:04:42|MasterCard|362|362
363|7692|1978-05-22 09:19:16|Visa|363|363
364|1771|1996-08-20 22:07:48|BitCoin|364|364
365|9559|1999-10-25 07:42:24|PayPal|365|365
366|6093|1995-10-11 17:55:31|BitCoin|366|366
367|10571|2021-04-05 19:15:53|MasterCard|367|367
368|9753|1975-03-27 01:56:51|Cash|368|368
369|9266|1999-08-23 17:19:28|International Transfer|369|369
370|4661|2017-12-29 21:05:17|MasterCard|370|370
371|5340|1998-02-16 20:59:42|BLIK|371|371
372|4683|1980-04-27 20:44:07|PayPal|372|372
373|3700|2008-12-17 13:46:39|Visa|373|373
374|6002|1997-08-14 22:32:29|International Transfer|374|374
375|5273|1993-08-18 04:46:04|Visa|375|375
376|1412|2006-11-11 17:13:02|BitCoin|376|376
377|4540|1996-12-26 17:45:37|BitCoin|377|377
378|3150|2020-10-12 03:45:25|BLIK|378|378
379|3494|1983-02-15 14:51:34|BitCoin|379|379
380|4716|1996-04-02 03:01:53|PayPal|380|380
381|4970|1973-09-12 21:31:48|Cash|381|381
382|8080|1979-01-13 14:40:08|MasterCard|382|382
383|9804|1994-06-25 12:19:50|Visa|383|383
384|7633|1986-07-27 11:06:00|MasterCard|384|384
385|6214|1995-07-27 11:42:27|PayPal|385|385
386|7246|2004-12-09 10:18:13|BLIK|386|386
387|3501|2003-03-22 16:43:49|MasterCard|387|387
388|8935|1982-10-17 22:51:41|MasterCard|388|388
389|1257|1979-10-27 10:21:53|MasterCard|389|389
390|10143|1974-02-15 13:11:37|PayPal|390|390
391|6589|2012-02-11 02:06:53|Cash|391|391
392|5358|1980-01-31 20:03:41|PayPal|392|392
393|6338|1982-02-05 23:13:16|MasterCard|393|393
394|4545|1992-03-14 09:57:27|Cash|394|394
395|1087|1988-10-10 17:24:09|BitCoin|395|395
396|4798|1994-06-21 13:53:43|Visa|396|396
397|4858|1973-02-17 08:25:08|MasterCard|397|397
398|8222|2007-05-26 21:06:26|Visa|398|398
399|1537|1971-05-03 15:49:11|Visa|399|399
400|6800|1996-05-08 03:57:24|BitCoin|400|400
401|10423|2011-10-25 02:21:27|PayPal|401|401
402|4940|1988-04-02 22:35:08|MasterCard|402|402
403|6268|1971-04-01 21:01:51|International Transfer|403|403
404|10268|2011-09-07 13:30:48|PayPal|404|404
405|4512|1999-11-21 05:02:14|Visa|405|405
406|6726|2008-01-19 17:44:02|MasterCard|406|406
407|6285|2001-07-07 01:55:08|Cash|407|407
408|3628|1983-11-27 00:16:44|International Transfer|408|408
409|8606|2014-03-13 00:44:10|PayPal|409|409
410|7434|2008-01-12 04:27:02|BitCoin|410|410
411|10344|2003-11-22 07:08:54|Visa|411|411
412|6795|1976-08-05 11:36:45|PayPal|412|412
413|7033|2006-06-18 19:10:36|BitCoin|413|413
414|6261|1983-08-14 06:02:28|Cash|414|414
415|5792|2013-04-12 20:21:22|International Transfer|415|415
416|8180|1989-07-26 01:07:17|Visa|416|416
417|1717|1977-12-24 14:20:52|BLIK|417|417
418|10055|1973-10-22 01:46:28|MasterCard|418|418
419|9131|1973-06-18 23:15:07|Visa|419|419
420|3314|2013-07-14 08:58:31|BLIK|420|420
421|7995|1970-04-21 23:57:56|BitCoin|421|421
422|1407|1999-09-28 03:09:44|International Transfer|422|422
423|5533|1996-07-04 07:43:00|BitCoin|423|423
424|6904|1991-12-15 14:17:30|PayPal|424|424
425|7214|2006-09-28 14:32:26|BitCoin|425|425
426|2533|1989-12-06 09:36:03|BLIK|426|426
427|1899|2005-01-24 05:00:56|MasterCard|427|427
428|4368|1989-07-18 07:14:58|BitCoin|428|428
429|8781|1986-05-23 06:52:18|BitCoin|429|429
430|5922|2018-06-02 12:26:48|BLIK|430|430
431|1978|2008-05-08 11:47:16|Visa|431|431
432|3159|1985-10-01 10:24:58|Visa|432|432
433|5431|1971-11-11 01:15:05|International Transfer|433|433
434|8670|1970-05-25 13:16:06|BitCoin|434|434
435|3136|1988-10-29 06:04:45|International Transfer|435|435
436|7809|1999-04-21 12:06:40|BitCoin|436|436
437|9138|1974-03-21 11:06:05|PayPal|437|437
438|3228|1985-04-28 00:17:19|MasterCard|438|438
439|2706|2017-09-28 10:31:49|International Transfer|439|439
440|4335|1991-04-25 03:15:05|Visa|440|440
441|10124|2014-03-29 11:52:41|BitCoin|441|441
442|4535|2018-08-17 16:48:25|International Transfer|442|442
443|6680|1998-03-07 05:33:54|BitCoin|443|443
444|3679|1970-02-02 14:33:24|BitCoin|444|444
445|1775|2018-03-30 07:25:44|PayPal|445|445
446|5761|2006-04-26 17:43:14|BitCoin|446|446
447|9986|2011-06-17 06:05:47|BLIK|447|447
448|7918|2017-05-20 22:45:09|Cash|448|448
449|6729|2012-10-13 19:41:40|International Transfer|449|449
450|4438|2003-10-15 13:12:25|Visa|450|450
451|10699|1972-08-06 06:08:13|BLIK|451|451
452|5494|1996-02-13 17:24:11|Visa|452|452
453|6568|1988-10-11 00:29:48|MasterCard|453|453
454|9305|2008-06-18 22:17:09|Cash|454|454
455|1275|2016-06-30 01:30:58|PayPal|455|455
456|3009|1986-09-02 21:57:42|PayPal|456|456
457|6565|2002-01-02 15:12:08|International Transfer|457|457
458|3702|1995-05-20 01:05:55|BitCoin|458|458
459|10035|2012-06-14 02:24:01|BitCoin|459|459
460|9355|1970-05-13 02:23:53|MasterCard|460|460
461|4366|1989-05-15 11:11:59|Visa|461|461
462|5612|1989-03-27 09:09:09|Cash|462|462
463|6852|2001-10-24 05:47:16|PayPal|463|463
464|5036|2011-07-21 13:44:52|Cash|464|464
465|1086|1973-06-20 02:13:29|International Transfer|465|465
466|7980|2013-03-30 06:10:51|International Transfer|466|466
467|7052|1991-06-06 09:51:38|International Transfer|467|467
468|1574|2020-11-15 02:47:37|Visa|468|468
469|8035|2007-09-24 22:45:04|Cash|469|469
470|5082|1986-07-05 09:14:53|Cash|470|470
471|10546|1973-12-04 18:29:55|Cash|471|471
472|2716|1987-11-20 01:05:17|Cash|472|472
473|4923|2001-12-23 04:14:28|Cash|473|473
474|10440|1971-01-02 18:25:12|Cash|474|474
475|10067|1978-08-10 21:10:45|MasterCard|475|475
476|6110|2003-04-01 13:22:03|Cash|476|476
477|10112|2014-07-25 11:26:20|BLIK|477|477
478|10577|2006-01-19 10:46:13|Visa|478|478
479|10548|2009-04-06 04:00:02|PayPal|479|479
480|6574|1971-08-10 14:26:07|Cash|480|480
481|3303|1980-11-15 23:53:16|MasterCard|481|481
482|6172|2000-12-29 03:35:08|Cash|482|482
483|6226|1998-12-14 16:30:11|BLIK|483|483
484|2560|1987-11-22 01:12:34|BitCoin|484|484
485|6077|1995-01-24 20:26:48|BitCoin|485|485
486|10882|1977-09-24 02:25:19|PayPal|486|486
487|3494|1982-10-19 13:47:15|Visa|487|487
488|2230|1970-04-19 22:35:31|PayPal|488|488
489|8651|2016-08-28 09:34:55|BitCoin|489|489
490|1648|1973-04-02 04:58:46|BitCoin|490|490
491|5039|1991-10-27 14:12:05|Cash|491|491
492|8568|2012-11-29 02:00:06|International Transfer|492|492
493|8932|1973-05-26 02:22:35|MasterCard|493|493
494|6093|1978-01-18 13:51:18|International Transfer|494|494
495|1634|2012-05-29 07:43:02|BLIK|495|495
496|8725|2007-02-12 11:09:32|PayPal|496|496
497|7069|1992-04-21 19:46:19|BitCoin|497|497
498|4085|2003-05-30 10:25:20|BitCoin|498|498
499|6866|1992-05-07 12:10:32|Cash|499|499
